,text,like,retweet,id,user,created_at
120,"小米・アップルなどスマホ増産　ファーウェイ制裁で
https://t.co/rJ4eMpyQfi",13,10,1316786628187226112,nikkei,Thu Oct 15 17:02:51 +0000 2020
121,"冬の流行拡大を懸念、医療の備え課題なお　新型コロナ
https://t.co/TtdquJ9FwV",29,16,1316786626924744704,nikkei,Thu Oct 15 17:02:51 +0000 2020
122,"NYダウ続落で始まる　一時300ドル超安、欧米のコロナ感染拡大を懸念
https://t.co/BqV6ZoppNH",96,39,1316738822466461703,nikkei,Thu Oct 15 13:52:53 +0000 2020
123,"電力不足のフィリピン、休眠34年の原発活用論が浮上
https://t.co/rDWGvi61y1",137,54,1316726988522962945,nikkei,Thu Oct 15 13:05:52 +0000 2020
124,"世界のトップ大学と競い、イノベーション創出のけん引役となる国立大学を育てる「指定国立大学法人」に、新たに筑波大学と東京医科歯科大学。出資できる企業の対象や余裕資金の運用で経営裁量が広がります。
https://t.co/uADk5x1yv0",256,114,1316725211413258241,nikkei,Thu Oct 15 12:58:48 +0000 2020
125,"監視カメラで検温0.3秒　JVCケンウッド、年内提供
https://t.co/KGZpHC171x",91,34,1316721983954980865,nikkei,Thu Oct 15 12:45:59 +0000 2020
126,"海外ユニクロ急回復　今期、ファストリ83%増益
https://t.co/bLm4RNGELD",125,48,1316712661741043712,nikkei,Thu Oct 15 12:08:56 +0000 2020
127,"タイ集会禁止、王室批判に強硬策　経済低迷で若者に不満
https://t.co/lPNLlP3HMW",38,24,1316712660465926144,nikkei,Thu Oct 15 12:08:56 +0000 2020
128,"政府がマイナンバーカードと運転免許証を一体にし、行政のテジタル化を進めます。免許証の住所変更や更新時の講習はオンラインで完結。2割にとどまるカード普及率を高めます。
https://t.co/T2vOGtDgMc",1786,738,1316709930796187648,nikkei,Thu Oct 15 11:58:05 +0000 2020
129,"人生も人事も巡り合わせを受け止める　アース製薬社長
https://t.co/07CoNP2HEF",44,9,1316709880984563712,nikkei,Thu Oct 15 11:57:53 +0000 2020
130,"紫外線の影響は秋に出る　肌を整える食事でいたわろう
https://t.co/Gk21bIhFDd",101,24,1316709879692685312,nikkei,Thu Oct 15 11:57:53 +0000 2020
131,"待遇格差是正の最適解探る　最高裁、手当・休暇で「不合理」判断
https://t.co/RNENDIVN2Y",37,22,1316705112945901568,nikkei,Thu Oct 15 11:38:56 +0000 2020
132,"百貨店の松山三越が募集した希望退職に、全従業員の8割にあたる約200人が応募。衣料品や雑貨などの直営売り場を大幅縮小する改装に伴い人員を減らします。
https://t.co/lXMI4hO528",205,128,1316704725669228546,nikkei,Thu Oct 15 11:37:24 +0000 2020
133,"参拝客のマスク着用や滞在時間の短縮徹底、手水の「マイひしゃく」を持参してもらうアイデアなど、28都府県の神社庁から賛同。埼玉県神社庁が初詣に向け、新型コロナ感染を防ぐガイドラインをまとめました。
https://t.co/nJGjhfqcfR",94,68,1316699108183343110,nikkei,Thu Oct 15 11:15:05 +0000 2020
